MovieID,Title,Genres,Rating
989,Schlafes Bruder (Brother of Sleep) (1995),Drama,5.0
3881,Bittersweet Motel (2000),Documentary,5.0
1830,Follow the Bitch (1998),Comedy,5.0
3382,Song of Freedom (1936),Drama,5.0
787,"Gate of Heavenly Peace, The (1995)",Documentary,5.0
3280,"Baby, The (1973)",Horror,5.0
3607,One Little Indian (1973),Multiple,5.0
3233,Smashing Time (1967),Comedy,5.0
3172,Ulysses (Ulisse) (1954),Adventure,5.0
3656,Lured (1947),Crime,5.0
3245,I Am Cuba (Soy Cuba/Ya Kuba) (1964),Drama,4.8
53,Lamerica (1994),Drama,4.75
2503,"Apple, The (Sib) (1998)",Drama,4.666666666666667
2905,Sanjuro (1962),Multiple,4.608695652173913
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Multiple,4.560509554140127
318,"Shawshank Redemption, The (1994)",Drama,4.554557700942973
858,"Godfather, The (1972)",Multiple,4.524966261808367
745,"Close Shave, A (1995)",Multiple,4.52054794520548
50,"Usual Suspects, The (1995)",Multiple,4.517106001121705
527,Schindler's List (1993),Multiple,4.510416666666667
1148,"Wrong Trousers, The (1993)",Multiple,4.507936507936508
2309,"Inheritors, The (Die Siebtelbauern) (1998)",Drama,4.5
1795,"Callejón de los milagros, El (1995)",Drama,4.5
2480,Dry Cleaning (Nettoyage à sec) (1997),Drama,4.5
439,Dangerous Game (1993),Drama,4.5
3517,"Bells, The (1926)",Multiple,4.5
3888,Skipped Parts (2000),Multiple,4.5
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,4.491489361702127
3338,For All Mankind (1989),Documentary,4.444444444444445
720,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,4.426940639269406
2762,"Sixth Sense, The (1999)",Thriller,4.406262708418057
2930,Return with Honor (1998),Documentary,4.4
3022,"General, The (1927)",Comedy,4.368932038834951
1136,Monty Python and the Holy Grail (1974),Comedy,4.335209505941213
128,Jupiter's Wife (1994),Documentary,4.333333333333333
1147,When We Were Kings (1996),Documentary,4.32129963898917
1254,"Treasure of the Sierra Madre, The (1948)",Adventure,4.289183222958058
2937,"Palm Beach Story, The (1942)",Comedy,4.288461538461538
905,It Happened One Night (1934),Comedy,4.280748663101604
3679,"Decline of Western Civilization, The (1981)",Documentary,4.274193548387097
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,4.258064516129032
3634,Seven Days in May (1964),Thriller,4.254545454545455
1189,"Thin Blue Line, The (1988)",Documentary,4.25278810408922
598,Window to Paris (1994),Comedy,4.25
1002,Ed's Next Move (1996),Comedy,4.25
951,His Girl Friday (1940),Comedy,4.249370277078086
950,"Thin Man, The (1934)",Mystery,4.239726027397261
3462,Modern Times (1936),Comedy,4.2360655737704915
2859,Stop Making Sense (1984),Documentary,4.2343096234309625
1927,All Quiet on the Western Front (1930),War,4.1940298507462686
1283,High Noon (1952),Western,4.1786600496277915
2066,Out of the Past (1947),Film-Noir,4.150943396226415
1303,"Man Who Would Be King, The (1975)",Adventure,4.129032258064516
1258,"Shining, The (1980)",Horror,4.104875804967802
1199,Brazil (1985),Sci-Fi,4.097480832420591
1266,Unforgiven (1992),Western,4.0902708124373115
599,"Wild Bunch, The (1969)",Western,4.087121212121212
3365,"Searchers, The (1956)",Western,4.085714285714285
2010,Metropolis (1926),Sci-Fi,4.082474226804123
1206,"Clockwork Orange, A (1971)",Sci-Fi,4.0781122864117165
965,"39 Steps, The (1935)",Thriller,4.075098814229249
28,Persuasion (1995),Romance,4.055865921787709
3849,"Spiral Staircase, The (1946)",Thriller,4.046511627906977
3508,"Outlaw Josey Wales, The (1976)",Western,4.043835616438356
2819,Three Days of the Condor (1975),Thriller,4.040752351097178
1931,Mutiny on the Bounty (1935),Adventure,4.0311111111111115
1209,Once Upon a Time in the West (1969),Western,4.023121387283237
2940,Gilda (1946),Film-Noir,4.009345794392523
1249,Nikita (La Femme Nikita) (1990),Thriller,4.005457025920873
1434,"Stranger, The (1994)",Action,4.0
632,Land and Freedom (Tierra y libertad) (1995),War,4.0
746,Force of Evil (1948),Film-Noir,4.0
2670,"Run Silent, Run Deep (1958)",War,4.0
1076,"Innocents, The (1961)",Thriller,4.0
792,"Hungarian Fairy Tale, A (1987)",Fantasy,4.0
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,3.991596638655462
2983,"Ipcress File, The (1965)",Thriller,3.9876543209876543
3075,Repulsion (1965),Thriller,3.9855072463768115
1301,Forbidden Planet (1956),Sci-Fi,3.9758713136729225
2648,Frankenstein (1931),Horror,3.9753694581280787
2947,Goldfinger (1964),Action,3.971014492753623
3728,One False Move (1991),Thriller,3.9594594594594597
1997,"Exorcist, The (1973)",Horror,3.9559322033898305
2565,"King and I, The (1956)",Musical,3.954301075268817
932,"Affair to Remember, An (1957)",Romance,3.9523809523809526
3606,On the Town (1949),Musical,3.940828402366864
681,Clean Slate (Coup de Torchon) (1981),Crime,3.933333333333333
1035,"Sound of Music, The (1965)",Musical,3.931972789115646
3681,For a Few Dollars More (1965),Western,3.916923076923077
1340,Bride of Frankenstein (1935),Horror,3.912037037037037
2467,"Name of the Rose, The (1986)",Mystery,3.9012345679012346
2660,"Thing From Another World, The (1951)",Sci-Fi,3.8962962962962964
2948,From Russia with Love (1963),Action,3.8897535667963683
714,Dead Man (1995),Western,3.888888888888889
2921,High Plains Drifter (1972),Western,3.8832807570977916
1333,"Birds, The (1963)",Horror,3.882673942701228
2949,Dr. No (1962),Action,3.874613003095975
553,Tombstone (1993),Western,3.8734177215189876
2511,"Long Goodbye, The (1973)",Crime,3.8658536585365852
2580,Go (1999),Crime,3.854771784232365
3292,"Big Combo, The (1955)",Film-Noir,3.8333333333333335
2708,"Autumn Tale, An (Conte d'automne) (1998)",Romance,3.8297872340425534
2644,Dracula (1931),Horror,3.827731092436975
3675,White Christmas (1954),Musical,3.8265682656826567
3499,Misery (1990),Horror,3.82579185520362
2971,All That Jazz (1979),Musical,3.823343848580442
3384,"Taking of Pelham One Two Three, The (1974)",Action,3.800724637681159
918,Meet Me in St. Louis (1944),Musical,3.7936507936507935
3549,Guys and Dolls (1955),Musical,3.792307692307692
3310,"Kid, The (1921)",Action,3.7903225806451615
1450,Prisoner of the Mountains (Kavkazsky Plennik) (1996),War,3.7857142857142856
2721,Trick (1999),Romance,3.764705882352941
2654,"Wolf Man, The (1941)",Horror,3.7611940298507465
3339,Cross of Iron (1977),War,3.744186046511628
2669,Pork Chop Hill (1959),War,3.7383177570093458
2347,"Pope of Greenwich Village, The (1984)",Action,3.736842105263158
1154,T-Men (1947),Film-Noir,3.7333333333333334
1684,Mrs. Dalloway (1997),Romance,3.7241379310344827
2189,I Married A Strange Person (1997),Animation,3.7142857142857144
2993,Thunderball (1965),Action,3.7054455445544554
941,"Mark of Zorro, The (1940)",Adventure,3.704761904761905
1484,"Daytrippers, The (1996)",Mystery,3.7016129032258065
3066,Tora! Tora! Tora! (1970),War,3.7010309278350517
3604,Gypsy (1962),Musical,3.69672131147541
1951,Oliver! (1968),Musical,3.6948356807511735
803,Walking and Talking (1996),Romance,3.6842105263157894
394,Coldblooded (1995),Action,3.6666666666666665
3670,"Story of G.I. Joe, The (1945)",War,3.6666666666666665
665,Underground (1995),War,3.657142857142857
3624,Shanghai Noon (2000),Action,3.6548672566371683
3658,Quatermass and the Pit (1967),Sci-Fi,3.652173913043478
1034,Freeway (1996),Crime,3.6449704142011834
117,"Young Poisoner's Handbook, The (1995)",Crime,3.632911392405063
2425,"General, The (1998)",Crime,3.6206896551724137
938,Gigi (1958),Musical,3.620320855614973
2583,Cookie's Fortune (1999),Mystery,3.608510638297872
3492,"Son of the Sheik, The (1926)",Adventure,3.5714285714285716
3121,"Hitch-Hiker, The (1953)",Film-Noir,3.5555555555555554
3032,"Omega Man, The (1971)",Sci-Fi,3.5401785714285716
2998,Dreaming of Joseph Lees (1998),Romance,3.5384615384615383
1755,Shooting Fish (1997),Romance,3.533333333333333
760,Stalingrad (1993),War,3.515151515151515
1685,"I Love You, I Love You Not (1996)",Romance,3.5
2578,"Sticky Fingers of Time, The (1997)",Sci-Fi,3.5
2727,Killer's Kiss (1955),Film-Noir,3.46875
1669,"Tango Lesson, The (1997)",Romance,3.4594594594594597
2281,Monument Ave. (1998),Crime,3.4545454545454546
2280,Clay Pigeons (1998),Crime,3.432
1153,Raw Deal (1948),Film-Noir,3.4285714285714284
2665,Earth Vs. the Flying Saucers (1956),Sci-Fi,3.4225352112676055
3412,"Bear, The (1988)",Adventure,3.3714285714285714
